sample_acc	run_acc	env_feat
ERS489113	ERR594398|ERR594403	(SRF) surface water layer (ENVO:00002042)
ERS489236	ERR599045|ERR599054	(SRF) surface water layer (ENVO:00002042)
ERS489285	ERR594376	(SRF) surface water layer (ENVO:00002042)
ERS489324	ERR594314	(SRF) surface water layer (ENVO:00002042)
ERS489315	ERR599019|ERR599138	(SRF) surface water layer (ENVO:00002042)
ERS489585	ERR599002|ERR599016	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489603	ERR594394	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489529	ERR599098|ERR599139	(SRF) surface water layer (ENVO:00002042)
ERS489727	ERR599112	(MES) mesopelagic zone (ENVO:00000213)
ERS489712	ERR599057	(SRF) surface water layer (ENVO:00002042)
ERS489733	ERR599058	(SRF) surface water layer (ENVO:00002042)
ERS489846	ERR599026	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489877	ERR599012	(SRF) surface water layer (ENVO:00002042)
ERS490010	ERR594324	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490002	ERR598972|ERR599023|ERR599025	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490026	ERR594385	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489987	ERR599021|ERR599164	(MES) mesopelagic zone (ENVO:00000213)
ERS489917	ERR598970|ERR599088|ERR599150	(SRF) surface water layer (ENVO:00002042)
ERS489943	ERR594392	(SRF) surface water layer (ENVO:00002042)
ERS490089	ERR594291	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490085	ERR598990|ERR599018|ERR599110	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490120	ERR594382|ERR594414	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490065	ERR598960|ERR599034	(MES) mesopelagic zone (ENVO:00000213)
ERS490035	ERR594320	(SRF) surface water layer (ENVO:00002042)
ERS490029	ERR598979|ERR599146	(SRF) surface water layer (ENVO:00002042)
ERS490053	ERR594359|ERR594361	(SRF) surface water layer (ENVO:00002042)
ERS490163	ERR598982|ERR599107	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490180	ERR594389	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490124	ERR598973|ERR599068|ERR599173	(SRF) surface water layer (ENVO:00002042)
ERS490142	ERR594362	(SRF) surface water layer (ENVO:00002042)
ERS490183	ERR598994|ERR599144	(SRF) surface water layer (ENVO:00002042)
ERS490192	ERR594313	(SRF) surface water layer (ENVO:00002042)
ERS490193	ERR594325	(SRF) surface water layer (ENVO:00002042)
ERS490204	ERR594395|ERR594404	(SRF) surface water layer (ENVO:00002042)
ERS490296	ERR599017|ERR599056|ERR599103	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490303	ERR594294	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490304	ERR594348	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490320	ERR594415	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS490230	ERR598947|ERR599131	(MES) mesopelagic zone (ENVO:00000213)
ERS490238	ERR594302	(MES) mesopelagic zone (ENVO:00000213)
ERS490265	ERR599129|ERR599171|ERR599174	(SRF) surface water layer (ENVO:00002042)
ERS490272	ERR594318	(SRF) surface water layer (ENVO:00002042)
ERS490273	ERR594297	(SRF) surface water layer (ENVO:00002042)
ERS490285	ERR594391	(SRF) surface water layer (ENVO:00002042)
ERS490373	ERR599044|ERR599149	(MES) mesopelagic zone (ENVO:00000213)
ERS490380	ERR594299|ERR594308	(MES) mesopelagic zone (ENVO:00000213)
ERS490382	ERR594331	(MES) mesopelagic zone (ENVO:00000213)
ERS490388	ERR594407	(MES) mesopelagic zone (ENVO:00000213)
